,tri_Grams,Freq
4018,کہیں اُس کو,22
13582,کے دیکھ لیا,12
7051,ہی کیوں نہ,11
7052,کیوں نہ ہو,11
4862,کو دیکھتے ہیں,9
8481,نہیں ہوں میں,9
15652,اور بھی ہیں,8
8761,میں خاک نہیں,8
12037,تو کیا ہوتا,7
2760,تسلی نہ ہوا,7
11980,نہ ہوتا تو,7
13850,رہی رات بھر,7
2790,چاہا تھا کہ,6
14388,تو نہیں تھا,6
19075,تیرا ہے یا,6
19076,ہے یا میرا,6
1558,میں ہوں اور,6
2789,نے چاہا تھا,6
14792,ایسے نہیں ہوتا,6
1084,درد کی دوا,6
1954,ہائے راز کا,6
3015,نسخہ ہائے وفا,6
3035,ہے اب اس,6
2846,کیجے ہم نے,6
3018,کر رہا تھا,5
12082,ہوتا تو کیا,5
1949,نہیں ہے تو,5
12020,کچھ تو خدا,5
15865,سے میں نے,5
3016,ہائے وفا کر,4
3019,رہا تھا میں,4
316,نجات پائے کیوں,4
3017,وفا کر رہا,4
315,سے نجات پائے,4
314,غم سے نجات,4
3014,تالیف نسخہ ہائے,4
3023,خیال ابھی فرد,4
3026,فرد تھا دل,4
3024,ابھی فرد فرد,4
12029,ڈبویا مجھ کو,4
12028,ہوتا ڈبویا مجھ,4
12027,خدا ہوتا ڈبویا,4
12026,تو خدا ہوتا,4
3025,فرد فرد تھا,4
313,آدمی غم سے,4
3027,تھا دل تا,4
3028,دل تا جگر,4
3029,تا جگر کہ,4
3030,جگر کہ ساحل,4
3031,کہ ساحل دریائے,4
3032,ساحل دریائے خوں,4
3033,دریائے خوں ہے,4
3034,خوں ہے اب,4
3522,بے دوا پایا,4
4369,کئے ہوئے پهر,4
312,پہلے آدمی غم,4
3163,مشکل ہے کہ,4
3000,میں مرگ کا,4
2999,زندگی میں مرگ,4
2998,تھا زندگی میں,4
2997,تھا تھا زندگی,4
2996,مرد تھا تھا,4
10053,فرمائیں گے کیا,4
1644,کے پردے میں,4
311,سے پہلے آدمی,4
1416,کیا کم ہے,4
10063,جائیں گے کیا,4
2908,مشکل پسند آیا,4
1572,تھا گلیوں میں,4
6239,کہتے ہیں کہ,4
1594,نہ پوچھ حال,4
3001,مرگ کا کھٹکا,4
3002,کا کھٹکا لگا,4
3003,کھٹکا لگا ہوا,4
3004,لگا ہوا اڑنے,4
3005,ہوا اڑنے سے,4
3006,اڑنے سے پیشتر,4
3007,سے پیشتر بھی,4
3011,رنگ زرد تھا,4
3012,زرد تھا تالیف,4
3013,تھا تالیف نسخہ,4
12021,تو خدا تھا,4
305,اصل میں دونوں,4
306,میں دونوں ایک,4
307,دونوں ایک ہیں,4
