,backword_bigrams,Freq
2547,ہوا نہ,46
388,ہے کیا,45
415,کہ ہے,40
2103,ہو نہ,34
1144,ہے میں,29
1188,نے ہم,28
480,لیے کے,25
4437,کو مجھ,25
3644,کو اُس,23
1108,میں ہوں,23
687,نہ کیوں,23
3643,اُس کہیں,23
734,آتی نہیں,23
412,یہ ہے,22
971,ہے نہیں,22
1026,بھی میں,21
449,گیا جل,20
1112,نے میں,19
1163,کا دل,19
2903,میں دل,18
11987,گزر سے,18
5724,گئیں ہو,17
357,کی اس,17
8664,کیا گے,16
1805,تو ہے,16
7504,نہیں بھی,16
4,آگے مرے,15
4364,ہیں دیکھتے,15
1256,رب یا,15
476,وہ ہے,15
5080,سے تجھ,15
6530,ہو کیوں,15
7839,یوں کہ,14
4155,تو ہو,14
660,ہوتا نہ,14
526,ہے ہوا,13
7710,میں کو,13
1413,ہوں میں,13
336,وہ میں,13
387,کیا تو,13
3554,نہ میں,12
3912,ہوئے کئے,12
11428,لیا دیکھ,12
5284,طرح کی,12
1462,میں کہ,12
1084,ہے کی,12
482,کو ہم,12
1475,نہ کا,12
210,نہ ہے,12
7180,ہوں نہیں,12
11427,دیکھ کے,12
182,تو میں,12
939,سے مجھ,12
5100,یا ہے,12
6988,تو کچھ,11
121,مجھے ہے,11
748,بھر رات,11
1449,نے تو,11
13085,بھی اور,11
6262,کیوں ہی,11
4244,اک ہر,11
479,کے جس,11
1476,پوچھ نہ,11
2813,کر نہ,11
6,ہے ہوتا,11
1204,ہے سے,11
5904,گیا آ,11
2670,آیا پسند,10
350,کو جس,10
7901,ہے بھی,10
4363,دیکھتے کو,10
173,کیا کیا,10
2303,کے اس,10
118,جو ہے,10
10372,آیا یاد,10
916,کو اس,10
3958,کو دل,10
3652,نہ کو,10
600,یہ کو,10
6386,پانو کے,10
810,بھی کو,10
2853,کی دل,10
10195,تو ہوتا,10
2768,رہا کر,9
260,میں پردے,9
354,دل و,9
3985,و دل,9
970,نہیں میں,9
727,نہ جو,9
5887,کی ان,9
1131,تک ہوتے,9
7407,خاک میں,9
11478,تھے نہ,9
593,سے دل,9
665,سے کس,9
11348,شب آخر,9
3584,دل سے,9
3253,نے تم,9
920,سے ہم,9
2481,دل ہے,9
169,ہے آتا,9
1609,میں گھر,9
9497,بنے نہ,9
1003,کہ تھا,9
3174,نہ ہو,9
2435,ہے کا,8
1887,ہے کہ,8
7622,نہیں خاک,8
5112,جسے کہیں,8
980,کر دیکھ,8
295,سے غم,8
9755,رہا نہیں,8
1305,کا اس,8
4038,ہوں چاہتا,8
666,میں سے,8
1656,گیا مر,8
13086,ہیں بھی,8
2746,تھا مرد,8
2799,کی عشق,8
1911,و عشق,8
1013,کی درد,8
1441,اور ہوں,8
7012,ہوتا کیا,8
2503,میں خواب,8
1884,ہے کرے,8
772,ہے آتی,8
392,یہ کہ,8
335,میں بزم,8
473,پھر تو,8
8223,نے جس,8
1640,کا جس,8
69,ہو کہتے,8
10027,ہوئے کیے,8
1107,ہوں کرتا,8
11464,ہو بھی,8
10226,خدا تو,8
429,ہے رہا,8
4371,وہ ہیں,8
2165,کہ ہیں,8
654,دل کہ,7
3711,سے جس,7
447,بھی دل,7
417,ہم ہے,7
3665,کی خدا,7
3907,ہے ہوئی,7
9247,پاس کے,7
4747,اسد ہے,7
1236,ہو سے,7
209,ہے تو,7
655,ہے دل,7
1448,تو جو,7
3268,کیا نے,7
2546,نہ تسلی,7
7317,نہ نے,7
948,میں جہاں,7
1164,کیا کا,7
16798,یارو پہ,7
10225,کچھ تھا,7
1488,ہم تھے,7
14834,ہے تیرا,7
1681,یہ تھا,7
2345,قدر اس,7
11641,رات رہی,7
2785,اس اب,7
2784,اب ہے,7
3603,کیا میں,7
3088,کو تجھ,7
4381,کو ان,7
1810,کا راز,7
9973,ہوتا نہیں,7
5580,ہیں کہتے,7
16480,آئیں نہ,7
8494,دے تو,7
12766,باقی نہیں,7
2904,پھر میں,7
2198,سے اس,7
7776,ساتھ کے,7
2770,میں تھا,6
4592,کو کس,6
2302,اس میں,6
2794,ہے جاتی,6
15849,میرا یا,6
1014,دوا کی,6
4368,کبھی کو,6
3240,ہوا کیا,6
6347,سے غیر,6
755,پہ دل,6
407,وہ کہ,6
6537,وہ ہو,6
4389,و دست,6
1453,تھا دار,6
222,ہم گے,6
3402,کس ہے,6
314,غیر ہے,6
4728,از غیر,6
2570,چاہا نے,6
2736,جو گیا,6
12066,نہیں تو,6
4248,واں تھا,6
2526,میں نظر,6
5004,ہیں رہے,6
741,ایک کا,6
12067,تھا نہیں,6
3086,نہیں دل,6
832,کو تم,6
2765,ہائے نسخہ,6
584,نہ تو,6
2766,وفا ہائے,6
678,بار ایک,6
2898,ہے مشکل,6
907,و پیچ,6
1879,کا باز,6
4637,اس ہے,6
11854,وہ نہ,6
695,کہیں نہ,6
13169,بے ہے,6
292,پہلے سے,6
16563,ھوں نہیں,6
12398,نہیں ایسے,6
101,میں ہے,6
1809,راز ہائے,6
380,ایک ہر,6
4281,گل جلوہٴ,6
4529,غالب ہے,6
988,خانہ مے,6
8102,کرتے نہیں,6
6181,کہ ہو,6
3195,پایا مزا,6
2582,راضی بھی,6
7019,سہی اور,6
1502,کا کس,6
12311,تھا گزرے,6
2623,بھی وہ,6
1242,رنگ ہر,6
761,نہیں پر,6
2875,دل نکلا,6
10669,بھی کچھ,6
1811,یاں کا,6
2619,ہم کیجے,6
5673,میں چمن,6
794,نہیں گر,6
1340,ہے پر,6
1439,اب تھا,6
3664,خدا کو,6
2749,میں زندگی,6
5525,نہ کچھ,6
2571,تھا چاہا,6
6599,جس ہے,5
1073,گل و,5
7929,طرح کس,5
3869,بعد کے,5
3189,سے عشق,5
3196,درد پایا,5
1882,دل کا,5
499,چار دو,5
2153,ہے خوں,5
470,نہ سے,5
16546,کے اقبال,5
1400,یہ کا,5
560,تو ہم,5
7361,سہی تو,5
1637,دل وہ,5
398,یہ میں,5
1876,سر ہے,5
3093,بہار کی,5
2319,ہے باقی,5
3613,میں دنیا,5
2367,کہ کا,5
1313,وہ سے,5
3856,تھا نہ,5
3614,ہیں میں,5
351,ہو کو,5
14223,جس ہو,5
2747,تھا تھا,5
1833,تو کا,5
1491,کو عشق,5
3849,کے آ,5
2592,سہی ہی,5
54,کیا کہ,5
1489,بھی ہم,5
2778,تا دل,5
330,میں راہ,5
2907,اک نے,5
4423,نے اس,5
8079,ہے کرتی,5
827,سے منہ,5
8231,کہ کو,5
821,موت کی,5
2605,میں کرنے,5
4403,کیا کو,5
683,جو ہم,5
1048,خدا اے,5
1331,میری ہے,5
2045,اب لیکن,5
1669,تیری ہے,5
1004,ہم کہ,5
1931,جو بھی,5
13953,فقط میں,5
8650,کہ غالب,5
13386,کے خدا,5
2845,نکلا عریاں,5
2057,دم ہے,5
7654,میں رہگزر,5
3645,تو کو,5
3593,گیا ہو,5
1456,میری میں,5
2053,سے گل,5
2052,گل بوئے,5
565,کہ جانا,5
10878,وہ تھا,5
4120,ہم ہیں,5
624,گسار غم,5
6721,کہ ہوں,5
639,رہے سمجھ,5
3258,نے ناصح,5
1430,مجھے کا,5
2504,آ میں,5
641,یہ ہو,5
809,ہم سے,5
2247,اور کچھ,5
1572,کے لے,5
3032,بے سے,5
1806,ہی تو,5
5055,اے ہے,5
2617,شکایت کی,5
4088,کے کسی,5
4898,ہیں سے,5
2660,جو کہ,5
2350,وہ کا,5
1358,پہ در,5
1197,گے جائیں,5
14480,نظر و,5
8727,کے عشق,5
667,کہ میں,5
3264,سے آپ,5
9313,ہے کرتا,5
3773,کہ خاک,5
590,کوئی ہوتا,5
803,گر چارہ,5
4023,پهر ہے,5
5583,کچھ میں,5
2769,تھا رہا,5
2455,میرے ہے,5
4020,ہوے کئے,5
1816,پردہ ہے,5
1565,عالم دو,5
3265,کوئی سے,5
2630,سے لب,5
603,سے کہاں,5
773,کچھ ہے,5
3520,ہوا پر,5
583,تو کبھی,5
10001,یوں تو,4
3197,پائی دوا,4
5173,کس میں,4
9546,ہے کيا,4
5623,کہ کیا,4
2756,سے اڑنے,4
8180,کا عشق,4
3194,مزا کا,4
8757,رہیں میں,4
1080,ان کو,4
2755,اڑنے ہوا,4
1081,سے ان,4
13456,کا اقبال,4
3183,کہ کہاں,4
2831,عجب کرے,4
65,تیرا ہے,4
2354,بے ہم,4
3182,کہاں دل,4
13195,گا بنے,4
3192,زیست نے,4
2541,میں دہر,4
6616,ہو تم,4
10020,یا ہو,4
6366,در کے,4
2511,معلوم نہیں,4
4212,اور ہیں,4
13616,و خس,4
598,کش نیم,4
13617,خاشاک و,4
2850,دی نہ,4
3763,اگر ہے,4
610,یہ ہوتا,4
2097,کر پیدا,4
1614,اے تھا,4
2763,تالیف تھا,4
3774,ایک کہ,4
11763,غم کیا,4
2833,مرد آزاد,4
6434,سے تن,4
2469,بے میں,4
567,سے خوشی,4
3685,کہیں کیا,4
13253,تھا دیا,4
640,ہو رہے,4
2758,بھی پیشتر,4
996,اتنا پر,4
2761,زرد رنگ,4
6668,کہ نے,4
2762,تھا زرد,4
6651,ہے یہی,4
4536,تو ہیں,4
3250,بارہا نے,4
3704,نہ اگر,4
4523,ہیں رکھتے,4
11527,نہ کیا,4
2624,نہ بھی,4
6345,نہ کر,4
3229,پایا آزما,4
3200,دوا بے,4
2767,کر وفا,4
10228,ہوتا خدا,4
7209,کریں کیا,4
13216,گی رہے,4
10229,ڈبویا ہوتا,4
10230,مجھ ڈبویا,4
10232,نے ہونے,4
2757,پیشتر سے,4
8350,ہم کیا,4
2387,جو میں,4
1065,ہے کیوں,4
820,کی مرنے,4
1522,پردے کے,4
7426,یا میں,4
3201,پایا دوا,4
2869,بزم تری,4
10096,دمِ حریفِ,4
2764,نسخہ تالیف,4
9300,دل اے,4
3226,میں تغافل,4
6690,تو سے,4
8235,کبھی میں,4
1804,نہیں محرم,4
3438,باہر سے,4
1042,کوئی نہیں,4
2832,آزاد عجب,4
5316,کیا کی,4
1525,قرار بے,4
5322,ہیں جاتے,4
3211,اثر بے,4
536,غالبؔ میں,4
3403,کی کس,4
10227,تھا خدا,4
2830,کرے مغفرت,4
4656,نہیں منظور,4
13590,ہیں سکتے,4
288,ایک دونوں,4
286,میں اصل,4
285,اصل غم,4
282,و حیات,4
8054,و گل,4
1982,بہ ہے,4
2734,میں دھمکی,4
273,ہی تیرا,4
4027,لالہ و,4
2584,دل ہوا,4
2826,جاں خستہ,4
1474,کا وفا,4
1655,مر کہ,4
2792,تھا گرد,4
2823,کفن بے,4
9878,مگر ہے,4
255,ہی آپ,4
2793,جاتی تھا,4
2820,تھا نورد,4
2795,کوئی ہے,4
287,دونوں میں,4
289,ہیں ایک,4
2819,نورد بیاباں,4
290,موت ہیں,4
2739,تھا نبرد,4
2790,آگے گل,4
2791,گرد آگے,4
738,نہیں نظر,4
1479,ذرہ ہر,4
11587,و سوز,4
808,سے جہاں,4
13566,ہے اور,4
1881,کا کاوش,4
1477,حال پوچھ,4
1182,بھی پہ,4
13363,ہے کیفیت,4
298,کیوں پائے,4
297,پائے نجات,4
296,نجات سے,4
2827,کی جاں,4
294,غم آدمی,4
293,آدمی پہلے,4
291,سے موت,4
2796,کشمکش کوئی,4
2800,دل کی,4
2742,پیشہ نبرد,4
2816,میں زنداں,4
5561,کے ان,4
2802,گیا اگر,4
7716,کو گر,4
2803,تو گیا,4
2804,وہی تو,4
763,ہوں جانتا,4
158,تمنا کی,4
2805,دل وہی,4
2806,درد کا,4
2807,تھا درد,4
2808,احباب تھا,4
1578,نہ دل,4
2574,سے وفا,4
9394,اس کہ,4
1273,کہ سے,4
2809,چارہ احباب,4
8481,دل حالِ,4
13102,و رنگ,4
2812,نہ وحشت,4
780,ورنہ ہوں,4
2817,خیال بھی,4
1463,جاں میں,4
760,پر بات,4
4051,کو کسی,4
1212,ایک ہوں,4
7850,بن کہ,4
1215,نظر کی,4
3057,میں گیا,4
2710,سے بسمل,4
8714,اب وہ,4
2818,بیاباں خیال,4
1455,میں گلیوں,4
4294,یاں تھا,4
1454,گلیوں تھا,4
2569,میں ہوا,4
9163,بات یہ,4
3509,سے یار,4
219,کیوں آئے,4
10495,وہ کیا,4
2801,اگر بھی,4
3041,دل گیا,4
2217,میں قفس,4
319,وہ واں,4
4013,طلب کی,4
13084,اور جہاں,4
3138,ہے گیا,4
2753,لگا کھٹکا,4
1827,ہے وقت,4
2774,فرد ابھی,4
2775,فرد فرد,4
2776,تھا فرد,4
2777,دل تھا,4
2779,جگر تا,4
13147,میں انجمن,4
2780,کہ جگر,4
7914,کے سن,4
7364,خوب کیا,4
13330,یہ مگر,4
2781,ساحل کہ,4
2782,دریائے ساحل,4
2752,کھٹکا کا,4
4148,اور ہے,4
2828,حق ہے,4
2783,خوں دریائے,4
7923,جو کہا,4
1114,کہ مانا,4
2754,ہوا لگا,4
962,بھی سے,4
1815,ہے حجاب,4
3178,اگر دل,4
2548,وہ یہ,4
4163,وہ نے,4
3177,دل ہم,4
1812,ورنہ یاں,4
3360,قدر جس,4
1813,جو ورنہ,4
1814,حجاب جو,4
3931,پهر ہوئے,4
2773,ابھی خیال,4
1817,ہے پردہ,4
1818,ساز ہے,4
2669,پسند مشکل,4
1819,کا ساز,4
1820,رنگ کا,4
8525,دے نہ,4
2600,ہوں ہوا,4
408,شوخ وہ,4
2751,کا مرگ,4
4348,کہ دل,4
8663,گے فرمائیں,4
6747,ہے کو,4
2590,ساغر و,4
2556,سے خط,4
12314,ہو روشن,4
1854,میرا میں,4
9213,عشق غمِ,4
12184,ہے آیا,4
4329,موجِ تھا,4
1311,ہے کم,4
1310,کم کیا,4
1309,کیا یہ,4
1859,ہی ایک,4
331,ہم میں,4
729,خوار بادہ,4
2829,مغفرت حق,4
2924,بھی کے,4
1495,تو دیکھا,4
11435,کیا اور,4
2917,سو تھا,4
2915,نکلا نہ,4
2750,مرگ میں,4
8408,قدم نقشِ,4
2748,زندگی تھا,4
11459,کے بچا,3
6779,رہے میں,3
3262,چھڑکا نمک,3
3325,بہا خوں,3
3270,ہے پایا,3
3267,تم پوچھے,3
3269,مزا کیا,3
3286,دماغ بے,3
9357,ہے سکتا,3
3263,آپ چھڑکا,3
8175,ہے گئی,3
13271,انجمن کی,3
9375,میں عشق,3
2636,نہ ہوا,3
3259,زخم نے,3
12847,ہو کی,3
5829,ہیں کی,3
919,ہم تو,3
1536,تیرے سے,3
11431,کچھ بہت,3
908,خم و,3
7822,کرے خدا,3
3260,پر زخم,3
2735,مر میں,3
891,سے کوچے,3
2632,سے ناتوانی,3
2688,ہمارا کو,3
9397,کا درد,3
10178,کی نے,3
3382,کوچے تیرے,3
868,سے تر,3
6980,بے و,3
6720,ہوں دل,3
1563,میں دشت,3
6301,الفت غمِ,3
953,سے جن,3
1586,اپنے کو,3
888,کر ہو,3
4988,ہو وا,3
2673,یک بہ,3
3266,پوچھے کوئی,3
3261,نمک پر,3
2678,بہ آیا,3
3227,جرأت میں,3
13285,کے مغرب,3
2912,جو آہ,3
10376,نہ تھا,3
2976,یک کہ,3
2975,دیکھ دل,3
8021,وہ مجھے,3
5574,جو کبھی,3
10478,ہم کو,3
4871,مانگ نہ,3
8046,ہے جانتا,3
1294,میں ہاتھ,3
6829,رباب و,3
1408,بر نامہ,3
1298,نہ گو,3
2937,ہر ہے,3
4884,جنبشِ یک,3
1308,یہ پر,3
2919,نکلا طوفاں,3
10399,آہ ہوگی,3
2918,طوفاں سو,3
2916,تھا نکلا,3
1318,خیال ہے,3
2914,نہ قطرہ,3
8014,نہیں کم,3
12885,وہ اب,3
1427,ایک ایک,3
1447,جو توڑا,3
1461,کہ پھرو,3
1460,پھرو کھینچے,3
1459,کھینچے کو,3
1458,کو نعش,3
13382,کا چمن,3
1457,نعش میری,3
1452,دار تمثال,3
1227,اک ہے,3
3044,و وصل,3
1446,توڑا آرزو,3
6858,تاب و,3
1243,میں رنگ,3
7977,ہو کہ,3
1440,میں اب,3
1438,تھا یار,3
1433,حساب پڑا,3
1257,یہ رب,3
1432,پڑا دینا,3
1431,دینا مجھے,3
2997,بھی تو,3
2913,قطرہ جو,3
2909,اٹھایا شور,3
9180,ہے فنا,3
2908,شور اک,3
2870,سے بزم,3
5610,نے خدا,3
2868,تری جو,3
2867,جو محفل,3
1401,حال یہ,3
1371,مرا میں,3
2861,بوئے نکلا,3
10446,گشتہ گم,3
2856,بھی تیر,3
2834,شوق تھا,3
2835,ہر شوق,3
2849,نہ داد,3
2848,داد نے,3
2847,نے زخم,3
2846,زخم نکلا,3
6230,بے نہیں,3
2844,عریاں بھی,3
2843,کے تصویر,3
2842,تصویر قیس,3
2841,قیس نکلا,3
9040,پہ نازک,3
2871,نکلا سے,3
2872,سو نکلا,3
2873,پریشاں سو,3
5628,گے کہیں,3
13444,زندگی تیری,3
2902,نکلا آساں,3
2901,آساں بھی,3
2900,بھی کام,3
2899,کام یہ,3
2897,مشکل سخت,3
2896,سخت پسند,3
2895,پسند دشوار,3
5630,نہیں یاد,3
2889,نکلا دنداں,3
2874,نکلا پریشاں,3
1345,نہیں ہی,3
2888,دنداں و,3
2887,و لب,3
2885,بہ کا,3
2884,کا یاروں,3
2883,یاروں کام,3
2882,کام درد,3
2878,تھا زدہ,3
2877,زدہ حسرت,3
11235,لے میں,3
3076,گرمی کی,3
3249,ہم یعنی,3
3181,دل پایا,3
6280,مجھ ہے,3
3218,پرکاری و,3
3217,و سادگی,3
3216,سادگی پایا,3
1524,بے دل,3
3213,نالہ دیکھی,3
3212,دیکھی اثر,3
3210,بے آہ,3
10224,نہ ہوتا,3
10231,ہونے کو,3
3209,آہ معلوم,3
3208,معلوم دل,3
3205,ہے دشمن,3
6932,آتی سے,3
1521,کے گل,3
1520,گل برگ,3
3193,کا زیست,3
3191,نے طبیعت,3
3190,طبیعت سے,3
3188,عشق پایا,3
3185,کیجے گم,3
3222,ہشیاری و,3
3223,حسن ہشیاری,3
3224,کو حسن,3
3238,خوں دل,3
3248,یعنی قدر,3
3247,اس لیکن,3
3246,لیکن معلوم,3
11421,صبا باد,3
3244,پایا ہوا,3
3243,کیا گم,3
3242,گم دیکھا,3
3241,دیکھا ہوا,3
3239,کیا خوں,3
3237,دل اپنا,3
3225,تغافل کو,3
3236,اپنا نے,3
3235,ہم آج,3
5529,کہ نہیں,3
5797,کہ دو,3
3232,لگا پھر,3
3231,پھر غنچہ,3
5794,سے آنکھوں,3
3230,غنچہ پایا,3
3228,آزما جرأت,3
3184,گم کہ,3
10254,مدت ہوئی,3
3078,کچھ کہاں,3
10255,کہ مدت,3
1492,پر کو,3
2789,گل جلوۂ,3
1487,تھے جانتے,3
14195,مستی فقط,3
1486,جانتے کم,3
1485,کم تھا,3
1167,جگر خون,3
13357,کے کر,3
16650,کے ملت,3
1484,دار آب,3
1483,آب تیغ,3
5552,کو دن,3
1176,گی جائے,3
1478,ہر حال,3
1181,پہ ہم,3
5726,میں خاک,3
13364,تو تیری,3
3084,صحرا کہ,3
5720,و لالہ,3
3081,تھا آیا,3
5556,نہیں باد,3
1493,اب پر,3
3109,جل دنیا,3
1494,دیکھا اب,3
14235,شام و,3
10256,غالب کہ,3
3180,پایا پڑا,3
3179,پڑا اگر,3
10259,یاد پر,3
10260,آتا یاد,3
10261,ہر وہ,3
10263,کہ کہنا,3
10264,ہوتا یوں,3
2621,سو جائیں,3
5538,جزا روز,3
6904,میں حجاب,3
1514,خیال کا,3
4767,آئینہ ہے,3
13332,سے دریا,3
1501,کس تھا,3
1500,تھا روزگار,3
10288,جب میں,3
7931,کے دیکھ,3
14209,ذوق بے,3
1496,کم تو,3
2622,وہ سو,3
7644,یہ نہیں,3
13255,ہے سنا,3
1870,اچھل شیشے,3
1868,سے بادہ,3
1865,بسکہ ہیں,3
1864,ہیں کا,3
1863,کا گداز,3
1862,گداز جاں,3
11914,جو دیا,3
5200,رکھ نہ,3
341,نہیں وہ,3
1856,میں وگرنہ,3
1855,وگرنہ میرا,3
1853,میں آہ,3
4333,سے زمیں,3
1850,ہے صرفہ,3
7346,تیرے ہیں,3
1849,صرفہ کا,3
1848,کا دراز,3
1847,دراز ہائے,3
2329,غالبؔ سے,3
1842,اور میں,3
364,کے خستہ,3
1841,میں تیز,3
4343,سے رنگ,3
1840,تیز تیز,3
1869,شیشے سے,3
1871,رہے اچھل,3
517,تو بھی,3
1872,ہر رہے,3
1895,باز نیم,3
8728,انداز کے,3
1892,اس قرض,3
1891,قرض پہ,3
4311,تھا کرتا,3
1890,پہ ناخن,3
1889,ناخن ہنوز,3
1888,ہنوز ہے,3
1886,کہ تقاضا,3
1885,تقاضا ہے,3
281,حیات قید,3
283,بند و,3
284,غم بند,3
300,اور حسن,3
4018,جاں و,3
302,پہ اس,3
1883,کرے دل,3
1880,کاوش کا,3
1878,باز شیشہ,3
4010,کر شوق,3
311,پہ اپنے,3
1877,شیشہ سر,3
1875,ہے بساط,3
1839,تیز ہائے,3
369,بند کام,3
1838,ہائے نظر,3
1837,نظر غیر,3
5936,ہے جاتا,3
7393,ہو کرتے,3
3909,کو یار,3
3908,یار ہے,3
9994,پھر ہے,3
1800,خرمن برق,3
13183,گیا گزر,3
9535,ہے پھرتا,3
463,ہم کے,3
464,نہیں ہم,3
3898,میں کلام,3
469,سے ہی,3
4384,کو گھر,3
4385,نظر ہیں,3
8753,یہ نے,3
3888,سے امام,3
8376,لگا دل,3
1787,پسند دل,3
3881,ہو کا,3
9517,نہ آئے,3
4397,کو جگر,3
5902,ہاتھ کے,3
510,نہ رہی,3
1807,نوا ہی,3
1808,ہائے نوا,3
5940,پر مجھ,3
2620,جائیں مر,3
1836,غیر سوئے,3
375,کیجیے کیا,3
1835,سوئے اور,3
377,ہائے ہائے,3
5969,میں تن,3
381,بات ایک,3
1834,اور تو,3
384,تم ہو,3
385,کہ تم,3
3954,پھر ہوئے,3
1832,کا ناز,3
4374,ہمارے میں,3
1831,ناز ہائے,3
1830,ہائے گل,3
1826,وقت یہ,3
1825,ہے نظارہ,3
4358,میں ہجر,3
4360,و دیوار,3
3940,ہیں ہوئے,3
4361,در و,3
1821,شکستہ رنگ,3
7382,کچھ نہ,3
